Accounting	ACCTG 1		1001	7:30a-9:55a MW  BUS 251	Schrader E	79	38	17	0	161	50	73	84	84	4.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2149365	Accounting	Schrader	Eleanor	2149365	1
Accounting	ACCTG 1		1002	7:30a-9:55a TTh	BUS 251	Schrader E	79	38	17	0	161	50	73	84	84	4.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2149365	Accounting	Schrader	Eleanor	2149365	1
Accounting	ACCTG 1		1003	8:30a-10:55a MW	BUS 119	Knight R B	78	35	45	0	281	28	41	57	57	4.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=229183	Business	Knight	Ridgway	229183	77
Accounting	ACCTG 1		1004	8:30a-10:55a TTh	BUS 254	Rubio C	2	9	1	0	50	4	22	24	24	4.7	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2104625	Accounting	Rubio	Cesar	2104625	3
Accounting	ACCTG 1		1005	8:30a-10:55a TTh	BUS 263	Brookins G T	77	62	45	0	369	21	38	50	50	3.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=112498	Business	Brookins	Gregory	112498	50
Accounting	ACCTG 1		1006	9:00a-12:05p S	BUS 254	Mares S	6	10	3	0	39	16	42	49	49	4.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2078433	Accounting	Mares	Samuel	2078433	5
Accounting	ACCTG 1		1007	10:00a-12:25p TTh	BUS 251	Maier L S	189	84	58	0	463	41	59	72	72	3.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1413762	Accounting	Maier	Lisa	1413762	31
Accounting	ACCTG 1		1008	11:00a-1:25p MW	BUS 251	Schrader E	79	38	17	0	161	50	73	84	84	4.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2149365	Accounting	Schrader	Eleanor	2149365	1
Accounting	ACCTG 1		1009	12:45p-3:10p MW	BUS 119	Maier L S	189	84	58	0	463	41	59	72	72	3.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1413762	Accounting	Maier	Lisa	1413762	31
Accounting	ACCTG 1		1010	12:45p-3:10p MW	BUS 254	Trippetti V J	104	79	53	0	363	29	51	66	66	4.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=193460	Accounting	Trippetti	Victor	193460	67
Accounting	ACCTG 1		1011	3:30p-5:55p MW	BUS 254	Barney S D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accounting	ACCTG 1		1012	3:30p-5:55p TTh	BUS 254	Nault W H	168	98	59	4	716	24	38	46	46	4.4	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=229185	Business	Nault	William	229185	69
Accounting	ACCTG 1		1013	Arrange-11.3Hours 	N/A ONLINE-E	Demetre N J	123	62	45	1	357	35	52	65	65	3.9	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=614371	Business	Demetre	Nona	614371	19
Accounting	ACCTG 1		1014	Arrange-7.5Hours    N/A ONLINE-E	Fitzgerald R L	63	51	34	1	272	24	42	55	55	4.1	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=503712	Business	Fitzgerald	Ron	503712	39
Accounting	ACCTG 1		1015	Arrange-7.5Hours 	N/A ONLINE-E	Fitzgerald R L	63	51	34	1	272	24	42	55	55	4.1	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=503712	Business	Fitzgerald	Ron	503712	39
Accounting	ACCTG 1		1016	Arrange-7.5Hours 	N/A ONLINE-E	Resnick W J	445	189	84	1	1048	43	61	69	69	4.4	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=184433	Accounting	Resnick	Jenny	184433	71
