Accounting	ACCTG 1		1001	"7a.m.-10:15a.m.
Arrange-4.5Hours TWTh
"	BUS 119	Arakelian A	UC CSU	This course introduces the student to the sole proprietorship, partnership, and corporate forms of ownership. This course also familiarizes the student with recording, classifying and interpreting financial data for service and merchandising businesses. It includes a study of the journals, ledgers and financial statements used by these entities. Also covered are computerized accounting systems, internal control, ethics, cash, accounts and notes receivable, merchandise inventory, plant assets and intangible assets, liabilities, and equity accounts. Basic managerial accounting topics are also introduced.	"7a.m.-10:15a.m.
Arrange-4.5Hours"	"TWTh
"	Winter 2019	5
Accounting	ACCTG 1		1002	11a.m.-2:30p.m. MTWTh	BUS 119	Knight R B	UC CSU	This course introduces the student to the sole proprietorship, partnership, and corporate forms of ownership. This course also familiarizes the student with recording, classifying and interpreting financial data for service and merchandising businesses. It includes a study of the journals, ledgers and financial statements used by these entities. Also covered are computerized accounting systems, internal control, ethics, cash, accounts and notes receivable, merchandise inventory, plant assets and intangible assets, liabilities, and equity accounts. Basic managerial accounting topics are also introduced.	11a.m.-2:30p.m.	MTWTh	Winter 2019	5
Accounting	ACCTG 1		1003	"9a.m.-12:15p.m.
Arrange-4.5Hours MTW
"	BUS 254	Brookins G T	UC CSU	This course introduces the student to the sole proprietorship, partnership, and corporate forms of ownership. This course also familiarizes the student with recording, classifying and interpreting financial data for service and merchandising businesses. It includes a study of the journals, ledgers and financial statements used by these entities. Also covered are computerized accounting systems, internal control, ethics, cash, accounts and notes receivable, merchandise inventory, plant assets and intangible assets, liabilities, and equity accounts. Basic managerial accounting topics are also introduced.	"9a.m.-12:15p.m.
Arrange-4.5Hours"	"MTW
"	Winter 2019	5
Accounting	ACCTG 2		1004	9a.m.-12:30p.m. MTWTh	BUS 263	Trippetti V J	UC CSU	This course continues the study of introductory financial accounting principles begun in Accounting 1 and also covers introductory managerial accounting. The financial accounting portion of the course (2 units) covers the corporate form of business organization, bond financing, installment notes and other long-term liabilities, investments in debt and equity securities, international operations and the Statement of Cash Flows, corporate financial statement preparation and analysis and other GAAP and IFRS considerations. The managerial portion of the course (3 units) covers accounting concepts relevant to internal users rather than third party users of financial statements. Managerial accounting study includes full absorption and variable costing, cost accounting for job order and for mass produced goods (process costing), just-in-time, activity-based and total quality management approaches to costing manufacturing operations. Also studied are segment reporting, performance measurement, cost-volume-profit analysis, flexible budgeting, capital expenditure budgeting, standard costing, responsibility accounting, and decision making processes. Ethical issues surrounding these topics are also addressed.	9a.m.-12:30p.m.	MTWTh	Winter 2019	5
Accounting	ACCTG 9		1005	Arrange-9Hours 	 ONLINE	Kim J S	CSU	This course surveys professional ethics for the accounting profession in the context of ethical theory, the history of ethical thought, the nature of accounting, tax and auditing fiduciary responsibilities, the rules of accounting codes of conduct, financial statement representations and fraud, and the theoretical and practical application of ethical principles to business situations. Topics include ethical standards specific to the accounting profession, an examination of the balance between the competing interests of the accountant's roles as management consultant and reporter of financial information to third parties, and the interests of businesses, government and professional regulatory agencies and the public. Reading, writing, analysis and discussion are core elements of the class.	Arrange-9Hours		Winter 2019	3
Accounting	ACCTG 10A		1008	Arrange-9Hours 	 ONLINE	Lu M	CSU	Basic pronouncements of the Financial Accounting Standards Board and their applications to accounting are covered in this course, along with cash, receivables, temporary investments, the time value of money, income and cash flow statements and estimating procedures.	Arrange-9Hours		Winter 2019	3
Accounting	ACCTG 10B		1009	Arrange-9Hours 	 ONLINE	Lu M	CSU	This course includes study of the basic pronouncements of the Financial Accounting Standards Board and their applications to accounting. In this course, the following are covered in detail: inventories, land, buildings, equipment, intangible assets, current and long term liabilities and contingencies and stockholders' equity (paid-in capital and retained earnings).	Arrange-9Hours		Winter 2019	3
Accounting	ACCTG 12		1010	Arrange-9Hours 	 ONLINE	Steinberger E K	CSU	This course covers the role and responsibility of certified public accountants in the audit of financial statements. Emphasis will be placed on verification of balance sheets and internal control of accounting systems and accounting cycles. Topics include AICPA and PCAOB auditing standards, professional ethics, legal liability, internal control, audit sampling and audit reports.	Arrange-9Hours		Winter 2019	3
Accounting	ACCTG 21		1011	Arrange-9Hours 	 ONLINE	Resnick W J	CSU	This course surveys basic bookkeeping principles and practices and the use of records to help bookkeepers and business owners/managers better understand common business terms, transactions, and record keeping in small businesses. This course provides the student with the basic accounting concepts and procedures required for all businesses. Through lecture and problem solving, the student will learn to do a full set of books pertaining to a small business enterprise. Topics covered include analyzing and classifying business transactions, financial statements, worksheets and adjusting entries, bank reconciliations, payroll, specialized journals, and tax aspects of small businesses.	Arrange-9Hours		Winter 2019	3
Accounting	ACCTG 22		1012	Arrange-9Hours 	 ONLINE	Rubio C	CSU	This course is a continuation of ACCT 21, and this course extends the bookkeeping principles and practices to a merchandising enterprise. Through lecture and problem solving, students will learn how to account, manage and report merchandising activities for a small enterprise. Major topics covered are accruals and deferrals, financial statements and closing procedures, including specific topics in Accounts Receivable and Uncollectible Accounts, Notes Receivable and Payable, Inventory, and Property, Plant and Equipment and Partnership.	Arrange-9Hours		Winter 2019	3
Accounting	ACCTG 45		1013	Arrange-9Hours 	 ONLINE	Resnick W J	CSU	Accounting 45 is the same class as Business 45.  Students may earn credit for one, but not for both.	Arrange-9Hours		Winter 2019	3
Anthropology	ANTHRO 1	5B	1029	8a.m.-10:05a.m. MTWTh	DRSCHR 136	Haradon C M	UC CSU	A survey of human biology, this course focuses on human origins and evolution by investigating the major aspects of physical anthropology including Mendelian and human genetics, primate and hominid evolutionary processes, contemporary human variability and facets of primate ethology and human behavior that make our species unique in the animal kingdom.	8a.m.-10:05a.m.	MTWTh	Winter 2019	3
Anthropology	ANTHRO 1	5B	1030	10:15a.m.-12:20p.m. MTWTh	DRSCHR 208	Rashidi J S	UC CSU	A survey of human biology, this course focuses on human origins and evolution by investigating the major aspects of physical anthropology including Mendelian and human genetics, primate and hominid evolutionary processes, contemporary human variability and facets of primate ethology and human behavior that make our species unique in the animal kingdom.	10:15a.m.-12:20p.m.	MTWTh	Winter 2019	3
