Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Communicatio	COM ST 35,BERGSTROM L M	COM ST 35	BERGSTROM L M	18	7	3		30
Communicatio	COM ST 37,GRASS HEMMERT N L	COM ST 37	GRASS HEMMERT N L	6	9	11		33
Communicatio	COM ST 37,GRASS HEMMERT N L	COM ST 37	GRASS HEMMERT N L	16	7	6		34
Communicatio	COM ST 37,SMITH H A	COM ST 37	SMITH H A	7	2	4		24
Communicatio	COM ST 37,SMITH H A	COM ST 37	SMITH H A	7	3	1		26
Communicatio	FILM 1,FLOOD S W	FILM 1	FLOOD S W	34	11		2	51
Communicatio	FILM 1,FLOOD S W	FILM 1	FLOOD S W	26	15	2		46
Communicatio	FILM 1,LAFFEY S A	FILM 1	LAFFEY S A	20	9	5		36
Communicatio	FILM 2,KANIN J D	FILM 2	KANIN J D	10	21	8		45
Communicatio	FILM 2,KANIN J D	FILM 2	KANIN J D	22	47			83
Communicatio	FILM 2,HUNT S E	FILM 2	HUNT S E	14	2			29
Communicatio	FILM 2,CARRASCO S	FILM 2	CARRASCO S	26	27	29	1	108
Communicatio	FILM 5,KANIN J D	FILM 5	KANIN J D	35	28	5	1	82
Communicatio	FILM 5,LAFFEY S A	FILM 5	LAFFEY S A	15	9	2		32
Communicatio	FILM 6,HUNT S E	FILM 6	HUNT S E	13	9	1	2	32
Communicatio	FILM 7,CARRASCO S	FILM 7	CARRASCO S	17	16	1		34
Communicatio	FILM 8,ROSENBERG V L	FILM 8	ROSENBERG V L	18	12	6		39
Communicatio	FILM 9,KANIN J D	FILM 9	KANIN J D	38	25	3		72
Communicatio	FILM 11,POIRIER N P	FILM 11	POIRIER N P	21	6	1		30
Communicatio	FILM 20,MATTHEWS M N	FILM 20	MATTHEWS M N	12	9	4		30
Communicatio	FILM 20,BIRNBAUM M J	FILM 20	BIRNBAUM M J	15	11	4		38
Communicatio	FILM 21,NOLAND G K	FILM 21	NOLAND G K	8	6	3		30
Communicatio	FILM 21,BIRNBAUM M J	FILM 21	BIRNBAUM M J	7	5	1		24
Communicatio	FILM 30,DANIELS R	FILM 30	DANIELS R	18	6	2	1	30
Communicatio	FILM 31,BARTESAGHI S	FILM 31	BARTESAGHI S	25	2		1	33
Communicatio	FILM 31,BARTESAGHI S	FILM 31	BARTESAGHI S	23	7			31
Communicatio	FILM 32,CARRASCO S	FILM 32	CARRASCO S	24	3			27
Communicatio	FILM 33,CARRASCO S	FILM 33	CARRASCO S	21	1			22
Communicatio	FILM 40,SMITH C W	FILM 40	SMITH C W	14	7	4	1	29
Communicatio	FILM 40,SMITH C W	FILM 40	SMITH C W	13	13	1		31
Communicatio	JOURN 1,STAMBLER L S	JOURN 1	STAMBLER L S	16	3	1		23
Communicatio	JOURN 1,RUBIN S M	JOURN 1	RUBIN S M	6	5			19
Communicatio	JOURN 1,OBSATZ S B	JOURN 1	OBSATZ S B	16	2			22
Communicatio	JOURN 4A,GIGGANS J H	JOURN 4A	GIGGANS J H	1	2			7
Communicatio	JOURN 8,STAMBLER L S	JOURN 8	STAMBLER L S	9	7	4		27
Communicatio	JOURN 8,STAMBLER L S	JOURN 8	STAMBLER L S	7	5	3		22
Communicatio	JOURN 15,RUBIN S M	JOURN 15	RUBIN S M	4	3	1	1	27
Communicatio	JOURN 16,RUBIN S M	JOURN 16	RUBIN S M	10	1	1		19
Communicatio	JOURN 17,RUBIN S M	JOURN 17	RUBIN S M	2				2
Communicatio	JOURN 17,RUBIN S M	JOURN 17	RUBIN S M	3				4
Communicatio	JOURN 21,BURKHART G J	JOURN 21	BURKHART G J	5				14
Communicatio	JOURN 22,BURKHART G J	JOURN 22	BURKHART G J	4	1			6
Communicatio	JOURN 43,ADELMAN A	JOURN 43	ADELMAN A	3	7	2	1	16
Communicatio	JOURN 90A,RUBIN S M 	JOURN 90A	RUBIN S M 				1	1
Communicatio	MEDIA 1,ROSENBERG V L	MEDIA 1	ROSENBERG V L	21	11	5	1	42
Communicatio	MEDIA 1,SAVAGE T L	MEDIA 1	SAVAGE T L	5	15	6		35
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	16	9	4		30
Communicatio	MEDIA 1,DICKINSON L M	MEDIA 1	DICKINSON L M	15	16	6		43
Communicatio	MEDIA 1,BREWINGTON R H	MEDIA 1	BREWINGTON R H	12	12	3		36
Communicatio	MEDIA 1,SAVAGE T L	MEDIA 1	SAVAGE T L	8	17	7		34
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	15	8	1		30
Communicatio	MEDIA 1,MITCHELL S V	MEDIA 1	MITCHELL S V	7	5	8		28
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	12	8	2		32
Communicatio	MEDIA 1,DICKINSON L M	MEDIA 1	DICKINSON L M	12	12	8		45
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	19	6	1		27
Communicatio	MEDIA 1,RAZ J G	MEDIA 1	RAZ J G	18	11	6	1	38
Communicatio	MEDIA 1,CHARLES H E	MEDIA 1	CHARLES H E	19	8	5		41
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	29	2	1		34
Communicatio	MEDIA 1,BREWER S L	MEDIA 1	BREWER S L	25	4	3		32
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	19	4	5		33
Communicatio	MEDIA 1,MOVIUS L	MEDIA 1	MOVIUS L	15	4	3		24
Communicatio	MEDIA 1,RAZ J G	MEDIA 1	RAZ J G	16	9	4		35
Communicatio	MEDIA 1,COLEMAN D	MEDIA 1	COLEMAN D	6	12	5	1	37
Communicatio	MEDIA 1,RAZ J G	MEDIA 1	RAZ J G	15	9	4		36
Communicatio	MEDIA 1,SIMMONS R D	MEDIA 1	SIMMONS R D	10	13	6		36
Communicatio	MEDIA 1,SIMMONS R D	MEDIA 1	SIMMONS R D	12	4	8		38
Communicatio	MEDIA 2,SCHOFIELD J E	MEDIA 2	SCHOFIELD J E	12	5	1		34
Communicatio	MEDIA 10,MOVIUS L	MEDIA 10	MOVIUS L	13	8	8		39
Communicatio	MEDIA 10,GOUGIS M J	MEDIA 10	GOUGIS M J	22	8	1		35
Communicatio	MEDIA 10,GOUGIS M J	MEDIA 10	GOUGIS M J	25	8	5		40
Communicatio	MEDIA 10,MOVIUS L	MEDIA 10	MOVIUS L	20	12	3	2	40
Communicatio	MEDIA 10,GOUGIS M J	MEDIA 10	GOUGIS M J	22	7	7		39
Communicatio	MEDIA 10,HORWITZ J T	MEDIA 10	HORWITZ J T	17	5			22
Communicatio	MEDIA 10,SCHOFIELD J E	MEDIA 10	SCHOFIELD J E	33	11	2		48
Communicatio	MEDIA 10,SCHOFIELD J E	MEDIA 10	SCHOFIELD J E	35	9	1	2	52
Communicatio	MEDIA 10,BREWER S L	MEDIA 10	BREWER S L	16	7	3		29
Communicatio	MEDIA 10,COLEMAN D	MEDIA 10	COLEMAN D	19	13	1		37
Communicatio	MEDIA 10,GIGGANS J H	MEDIA 10	GIGGANS J H	19	17	12		56
Communicatio	MEDIA 10,CHARLES H E	MEDIA 10	CHARLES H E	16	10	6		47
Communicatio	MEDIA 10,GOLDSTEIN MARTIN M	MEDIA 10	GOLDSTEIN MARTIN M	28	5	2		41
Communicatio	MEDIA 10,PERNISCO N	MEDIA 10	PERNISCO N	7	13	3		33
Communicatio	MEDIA 10,OBSATZ S B	MEDIA 10	OBSATZ S B	27	6	4		39
Communicatio	MEDIA 10,OBSATZ S B	MEDIA 10	OBSATZ S B	38	3			42
Communicatio	MEDIA 10,PERNISCO N	MEDIA 10	PERNISCO N	6	4	1		16
Communicatio	MEDIA 10,SHAW R D	MEDIA 10	SHAW R D	13	6	6		31
Communicatio	MEDIA 10,GOLDSTEIN MARTIN M	MEDIA 10	GOLDSTEIN MARTIN M	17	8	3		33
Communicatio	MEDIA 10,SHARMA SU	MEDIA 10	SHARMA SU	5	9	12		38
Communicatio	MEDIA 10,GOLDSTEIN MARTIN M	MEDIA 10	GOLDSTEIN MARTIN M	21	4	4		44
Communicatio	MEDIA 10,DICKINSON L M	MEDIA 10	DICKINSON L M	10	3	5	1	37
Communicatio	MEDIA 11,SHAW R D	MEDIA 11	SHAW R D	16	6			30
Communicatio	MEDIA 11,BEATON J L	MEDIA 11	BEATON J L	11	7	2		29
Communicatio	MEDIA 12,GIGGANS J H	MEDIA 12	GIGGANS J H	7	4	7		31
Communicatio	MEDIA 13,BREWINGTON R H	MEDIA 13	BREWINGTON R H	16	5	1		31
Communicatio	MEDIA 13,BREWINGTON R H	MEDIA 13	BREWINGTON R H	15	7	2		31
Communicatio	MEDIA 14,GIGGANS J H	MEDIA 14	GIGGANS J H	9	1	6		18
Communicatio	MEDIA 17,CARLUCCI M A	MEDIA 17	CARLUCCI M A	10	4	3		33
Communicatio	MEDIA 18,ADELMAN A	MEDIA 18	ADELMAN A	3	6	2	2	18
Communicatio	MEDIA 19,BEATON J L	MEDIA 19	BEATON J L	7	5	1		19
Communicatio	MEDIA 20,CAPTOR R	MEDIA 20	CAPTOR R	8	10	2		25
Communicatio	MEDIA 46,FETZER G C	MEDIA 46	FETZER G C	13	2	1		27
Communicatio	MEDIA 48,SHAW R D	MEDIA 48	SHAW R D	7	4			15
Communicatio	MEDIA 88A,GRASS HEMMERT N L	MEDIA 88A	GRASS HEMMERT N L	2				3
Communicatio	MEDIA 88B,GRASS HEMMERT N L 	MEDIA 88B	GRASS HEMMERT N L 				1	1
Communicatio	MEDIA 90B,BARTESAGHI S 	MEDIA 90B	BARTESAGHI S 					6
Communicatio	MEDIA 90B,GRASS HEMMERT N L 	MEDIA 90B	GRASS HEMMERT N L 					2
Communicatio	PHOTO 13,BURKHART G J	PHOTO 13	BURKHART G J	4	1	1		18
Communicatio	PHOTO 14,BURKHART G J	PHOTO 14	BURKHART G J	2	1	3		11
Cosmetology	COSM 10,VAUGHN C L	COSM 10	VAUGHN C L	13	8	4		34
Cosmetology	COSM 10,VAUGHN C L	COSM 10	VAUGHN C L	15	13	1		37
Cosmetology	COSM 11A,LEDONNE H	COSM 11A	LEDONNE H	1	11	8		29
Cosmetology	COSM 11A,LEDONNE H	COSM 11A	LEDONNE H	1	3	5		23
Cosmetology	COSM 11B,PERRET D M	COSM 11B	PERRET D M	9	8	2		28
Cosmetology	COSM 11B,PERRET D M	COSM 11B	PERRET D M	3	8			18
Cosmetology	COSM 11C,ASSADI J	COSM 11C	ASSADI J	4	9	10		29
Cosmetology	COSM 11C,ASSADI J	COSM 11C	ASSADI J	3	4	4		22
Cosmetology	COSM 11D,MOISAN A V	COSM 11D	MOISAN A V	27	3			32
Cosmetology	COSM 11D,MOISAN A V	COSM 11D	MOISAN A V	15	1			21
Cosmetology	COSM 14A,YOUNG C P	COSM 14A	YOUNG C P	2	14	6		31
Cosmetology	COSM 14A,YOUNG C P	COSM 14A	YOUNG C P	4	4	6		18
Cosmetology	COSM 14B,YOUNG C P	COSM 14B	YOUNG C P	8	9	5		35
Cosmetology	COSM 14B,YOUNG C P	COSM 14B	YOUNG C P	3	5	4		16
Cosmetology	COSM 16,MOISAN A V	COSM 16	MOISAN A V	15	1			27
Cosmetology	COSM 16,MOISAN A V	COSM 16	MOISAN A V	15	1			28
Cosmetology	COSM 18,LIM J Y	COSM 18	LIM J Y	18	3	3		32
Cosmetology	COSM 18,LIM J Y	COSM 18	LIM J Y	13	5	1		23
Cosmetology	COSM 20,IJAMES S V	COSM 20	IJAMES S V	12	12	5		32
Cosmetology	COSM 20,IJAMES S V	COSM 20	IJAMES S V	20	10	2		43
Cosmetology	COSM 21A,MOISAN A V	COSM 21A	MOISAN A V	12	1			19
Cosmetology	COSM 21A,MOISAN A V	COSM 21A	MOISAN A V	18				21
Cosmetology	COSM 21B,FIGUEROA I M	COSM 21B	FIGUEROA I M	5	5	2		25
Cosmetology	COSM 21B,FIGUEROA I M	COSM 21B	FIGUEROA I M	4	1	4		13
Cosmetology	COSM 21C,PERRET D M	COSM 21C	PERRET D M	9	3	3		18
Cosmetology	COSM 21C,PERRET D M	COSM 21C	PERRET D M	4	7	2		15
Cosmetology	COSM 21D,MOISAN A V	COSM 21D	MOISAN A V	10	5	1		19
Cosmetology	COSM 21D,MOISAN A V	COSM 21D	MOISAN A V	17	1			18
Cosmetology	COSM 24,WILLIAMS DONNIE	COSM 24	WILLIAMS DONNIE	4	4	1		12
Cosmetology	COSM 24,WILLIAMS DONNIE	COSM 24	WILLIAMS DONNIE	2				4
Cosmetology	COSM 26,FIGUEROA I M	COSM 26	FIGUEROA I M	6	3	5		20
Cosmetology	COSM 26,FIGUEROA I M 	COSM 26	FIGUEROA I M 	5	4	3	7	20
Cosmetology	COSM 28A,LEDONNE H	COSM 28A	LEDONNE H	10	14	6		35
Cosmetology	COSM 28A,LEDONNE H	COSM 28A	LEDONNE H	6	8	6		30
Cosmetology	COSM 28B,LIM J Y	COSM 28B	LIM J Y	14	9	2		26
Cosmetology	COSM 28B,LIM J Y	COSM 28B	LIM J Y	17	6	2		28
Cosmetology	COSM 30,IJAMES S V	COSM 30	IJAMES S V	20	4	2		29
Cosmetology	COSM 30,IJAMES S V	COSM 30	IJAMES S V	21	9	2		36
Cosmetology	COSM 31A,ROGERS JR J	COSM 31A	ROGERS JR J	11	6			21
Cosmetology	COSM 31A,ROGERS JR J	COSM 31A	ROGERS JR J	5				11
Cosmetology	COSM 31B,PERRET D M	COSM 31B	PERRET D M	3	8	3		20
Cosmetology	COSM 31B,PERRET D M	COSM 31B	PERRET D M	11	8			22
Cosmetology	COSM 31C,ASSADI J	COSM 31C	ASSADI J	7	6			18
Cosmetology	COSM 31C,ASSADI J	COSM 31C	ASSADI J	4	6	6		20
Cosmetology	COSM 36,FELIX F	COSM 36	FELIX F	18	1	1		20
Cosmetology	COSM 36,FELIX F	COSM 36	FELIX F	11	6			20
Cosmetology	COSM 38,LIM J Y	COSM 38	LIM J Y	16	8	2		32
Cosmetology	COSM 38,LIM J Y	COSM 38	LIM J Y	9	8	2		21
Cosmetology	COSM 40,DICAMILLO N	COSM 40	DICAMILLO N	3	9	2		19
Cosmetology	COSM 40,DICAMILLO N	COSM 40	DICAMILLO N	16	5	3		29
Cosmetology	COSM 41B,ASSADI J	COSM 41B	ASSADI J	3	8	2		16
Cosmetology	COSM 41B,ASSADI J	COSM 41B	ASSADI J	10	11			22
Cosmetology	COSM 42,ROGERS JR J	COSM 42	ROGERS JR J	9	1	2		19
Cosmetology	COSM 42,ROGERS JR J	COSM 42	ROGERS JR J	9	7			24
Cosmetology	COSM 46,NUNLEY R M	COSM 46	NUNLEY R M	8	6	2		18
Cosmetology	COSM 46,NUNLEY R M	COSM 46	NUNLEY R M	6	3	1		14
Cosmetology	COSM 48,KEPLER J M	COSM 48	KEPLER J M	11	2	6		24
Cosmetology	COSM 48,KEPLER J M	COSM 48	KEPLER J M	16	6	2		27
Cosmetology	COSM 48B,LEDONNE H	COSM 48B	LEDONNE H	4	13			21
Cosmetology	COSM 48B,LEDONNE H	COSM 48B	LEDONNE H	9	16	4		34
Cosmetology	COSM 50A,MOISAN A V	COSM 50A	MOISAN A V	1	12			24
Cosmetology	COSM 50A,MOISAN A V	COSM 50A	MOISAN A V	6	7			14
Cosmetology	COSM 50B,CEBALLOS B A	COSM 50B	CEBALLOS B A	3	5			12
Cosmetology	COSM 50B,CEBALLOS B A	COSM 50B	CEBALLOS B A	4	7			16
Cosmetology	COSM 50C,DICAMILLO N	COSM 50C	DICAMILLO N	13	6			22
Cosmetology	COSM 50C,DICAMILLO N	COSM 50C	DICAMILLO N	6	3			10
Cosmetology	COSM 64,LEDONNE H	COSM 64	LEDONNE H	10	13	1		40
Cosmetology	COSM 64,LEDONNE H	COSM 64	LEDONNE H	7	9	7		36
Cosmetology	COSM 88A,ROGERS JR J 	COSM 88A	ROGERS JR J 					1
Cosmetology	COSM 95A,ROGERS JR J 	COSM 95A	ROGERS JR J 				7	48
Cosmetology	COSM 95B,CEBALLOS B A 	COSM 95B	CEBALLOS B A 				5	31
Cosmetology	COSM 95C,PERRET D M 	COSM 95C	PERRET D M 				1	31
Cosmetology	COSM 95D,FIGUEROA I M 	COSM 95D	FIGUEROA I M 					21
Counseling	COUNS 1,FINLEY S F 	COUNS 1	FINLEY S F 				10	47
Counseling	COUNS 1,GONZALEZ B M 	COUNS 1	GONZALEZ B M 				3	39
Counseling	COUNS 11,HERNANDEZ MA 	COUNS 11	HERNANDEZ MA 				1	19
Counseling	COUNS 11,DAHAN M 	COUNS 11	DAHAN M 				1	41
Counseling	COUNS 11,NUNAG A N 	COUNS 11	NUNAG A N 				2	42
Counseling	COUNS 11,OCAMPO A C 	COUNS 11	OCAMPO A C 					35
Counseling	COUNS 11,NGOV S R 	COUNS 11	NGOV S R 				1	34
Counseling	COUNS 11,FINCH L A 	COUNS 11	FINCH L A 				3	43
Counseling	COUNS 11,FINLEY S F 	COUNS 11	FINLEY S F 				3	38
Counseling	COUNS 11,FINLEY S F 	COUNS 11	FINLEY S F 				2	40
Counseling	COUNS 11,THOMPSON C 	COUNS 11	THOMPSON C 				2	47
Counseling	COUNS 11,SIN E H 	COUNS 11	SIN E H 				1	35
Counseling	COUNS 12,GRUEN D L	COUNS 12	GRUEN D L	20	8	1		36
Counseling	COUNS 12,GRUEN D L	COUNS 12	GRUEN D L	13	4	4	1	32
Counseling	COUNS 12,NELLA M C	COUNS 12	NELLA M C	25	5	1	1	39
Counseling	COUNS 12,NELLA M C	COUNS 12	NELLA M C	13	6	3	1	43
Counseling	COUNS 12,COHN‐SCHNEIDER R	COUNS 12	COHN‐SCHNEIDER R	23				28
Counseling	COUNS 12,COHN‐SCHNEIDER R	COUNS 12	COHN‐SCHNEIDER R	10	1			22
Counseling	COUNS 12,GAUSMAN J M	COUNS 12	GAUSMAN J M	26	5			42
Counseling	COUNS 12,GAUSMAN J M	COUNS 12	GAUSMAN J M	26	4			39
Counseling	COUNS 12,MORRIS M R	COUNS 12	MORRIS M R	11	2	4		25
Counseling	COUNS 12,MORRIS M R	COUNS 12	MORRIS M R	11	4	6	1	41
Counseling	COUNS 20,GALINDO O A	COUNS 20	GALINDO O A	5	5	1		30
Counseling	COUNS 20,GALINDO O A	COUNS 20	GALINDO O A	8	3	5		36
Counseling	COUNS 20,JIMENEZ P W	COUNS 20	JIMENEZ P W	9	4			23
Counseling	COUNS 20,GALINDO O A	COUNS 20	GALINDO O A	10	9	4		39
Counseling	COUNS 20,GALINDO O A	COUNS 20	GALINDO O A	15	2	6		35
Counseling	COUNS 20,VALLEJO O	COUNS 20	VALLEJO O	9	5	4		28
Counseling	COUNS 20,COOPER D J	COUNS 20	COOPER D J	3	11	5		32
Counseling	COUNS 20,LEWIS M L	COUNS 20	LEWIS M L	3	6	5		32
Counseling	COUNS 20,LEWIS M L	COUNS 20	LEWIS M L	5	3	3		27
Counseling	COUNS 20,GONZALEZ B M	COUNS 20	GONZALEZ B M	1	2	7		26
Counseling	COUNS 20,NUNEZ‐MASON R E	COUNS 20	NUNEZ‐MASON R E	12	4	2		33
Counseling	COUNS 20,PRADO R E	COUNS 20	PRADO R E	6	10	4		34
Counseling	COUNS 20,VALENTINE D	COUNS 20	VALENTINE D	7	3	3		36
Counseling	COUNS 20,COOPER D J	COUNS 20	COOPER D J	11	11	2		28
Counseling	COUNS 20,TREJO A D	COUNS 20	TREJO A D	13	8	4		34
Counseling	COUNS 20,FINCH L A	COUNS 20	FINCH L A	18	4	4		40
Counseling	COUNS 20,DAHLENBURG T	COUNS 20	DAHLENBURG T	13	8	4		30
Counseling	COUNS 20,AKINS RAVELING D	COUNS 20	AKINS RAVELING D	4	4	5		36
Counseling	COUNS 20,VALENTINE D	COUNS 20	VALENTINE D	12	4		1	33
Counseling	COUNS 20,COOPER D J	COUNS 20	COOPER D J	16	6	2		34
Counseling	COUNS 20,LEWIS M L	COUNS 20	LEWIS M L	2	3	6		34
Counseling	COUNS 20,TREJO A D	COUNS 20	TREJO A D	8	11			30
Counseling	COUNS 20,FINLEY S F	COUNS 20	FINLEY S F	14	5	2		32
Counseling	COUNS 20,HANSON N J	COUNS 20	HANSON N J	6	7	4		28
Counseling	COUNS 20,HACKETT C D	COUNS 20	HACKETT C D	4	6	12		43
Counseling	COUNS 20,JACKSON A E	COUNS 20	JACKSON A E	21	8	4		40
Counseling	COUNS 20,MAIORANO S M	COUNS 20	MAIORANO S M	14	6	4		28
Counseling	COUNS 20,DAHLENBURG T	COUNS 20	DAHLENBURG T	1	9	2		29
Counseling	COUNS 20,JACKSON A E	COUNS 20	JACKSON A E	7	9	5		35
Counseling	COUNS 20,CARRILLO‐SARR S	COUNS 20	CARRILLO‐SARR S	9	8	2	1	32
Counseling	COUNS 20,CARRILLO‐SARR S	COUNS 20	CARRILLO‐SARR S	10	4	4	1	37
Counseling	COUNS 20,SIMMONS B	COUNS 20	SIMMONS B	7	5		1	26
Counseling	COUNS 20,HALL T T	COUNS 20	HALL T T	16	2			26
Counseling	COUNS 20,FELIX J	COUNS 20	FELIX J	14	8	3		29
Counseling	COUNS 20,HALL T T	COUNS 20	HALL T T	7	4	2		22
Counseling	COUNS 20,FELIX J	COUNS 20	FELIX J	15	6			26
Counseling	COUNS 20,FELIX J	COUNS 20	FELIX J	11	4	2		32
Counseling	COUNS 20,MARTIN‐TUNGPALA N K	COUNS 20	MARTIN‐TUNGPALA N K	2	3	3		23
Counseling	COUNS 20,STEWART S	COUNS 20	STEWART S	19	5			31
Counseling	COUNS 20,NJOKU R	COUNS 20	NJOKU R	8	5			24
Counseling	COUNS 88,FELIX J	COUNS 88	FELIX J	1				1
Counseling	COUNS 88,TERUYA S	COUNS 88	TERUYA S	3	2			6
Counseling	COUNS 88,FELIX J	COUNS 88	FELIX J	2				2
Counseling	COUNS 90,ROTHMAN V J 	COUNS 90	ROTHMAN V J 					12
Counseling	COUNS 90,ROTHMAN V J 	COUNS 90	ROTHMAN V J 				1	10
Counseling	COUNS 90,ROTHMAN V J 	COUNS 90	ROTHMAN V J 				1	31
Counseling	COUNS 90,ROTHMAN V J 	COUNS 90	ROTHMAN V J 					8
CSIS	ACCTG 35,VALDIVIA O	ACCTG 35	VALDIVIA O	11	3	1		18
CSIS	ACCTG 35,ZIMMERMAN W L	ACCTG 35	ZIMMERMAN W L	4	3	7		21
CSIS	ACCTG 35,ZIMMERMAN W L	ACCTG 35	ZIMMERMAN W L	11	2			17
CSIS	CIS 1,RAHNI M	CIS 1	RAHNI M	5	16	4		33
CSIS	CIS 1,RAHNI M	CIS 1	RAHNI M	3	16	5	1	35
CSIS	CIS 1,SCOTT JACQUELINE D	CIS 1	SCOTT JACQUELINE D	5	6	4		29
CSIS	CIS 1,RAHNI M	CIS 1	RAHNI M	10	16	2		33
CSIS	CIS 1,SCOTT JACQUELINE D	CIS 1	SCOTT JACQUELINE D	8	5			26
CSIS	CIS 1,HURLEY D P	CIS 1	HURLEY D P	3	7	4		22
CSIS	CIS 1,ROTHAUPT B L	CIS 1	ROTHAUPT B L	20	1	3		26
CSIS	CIS 1,ROTHAUPT B L	CIS 1	ROTHAUPT B L	22	1			25
CSIS	CIS 1,HURLEY D P	CIS 1	HURLEY D P	6	5	4	1	25
CSIS	CIS 1,VALDIVIA O	CIS 1	VALDIVIA O	7	7			19
CSIS	CIS 1,VALDIVIA O	CIS 1	VALDIVIA O	6	3	1		19
CSIS	CIS 1,SIMMONDS A R	CIS 1	SIMMONDS A R	10	5	2		29
CSIS	CIS 4,SCOTT JACQUELINE D	CIS 4	SCOTT JACQUELINE D	2	6	4		27
CSIS	CIS 4,EL‐KHOURY N R	CIS 4	EL‐KHOURY N R	13	8	7		41
CSIS	CIS 4,JERRY G S	CIS 4	JERRY G S	19	9	3		36
CSIS	CIS 4,RODRIGUEZ J E	CIS 4	RODRIGUEZ J E	12	8	2		31
CSIS	CIS 4,EL‐KHOURY N R	CIS 4	EL‐KHOURY N R	18	5	6		36
CSIS	CIS 4,EL‐KHOURY N R	CIS 4	EL‐KHOURY N R	16	8	3		39
CSIS	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	31				33
CSIS	CIS 4,JERRY G S	CIS 4	JERRY G S	27	3	1	1	36
CSIS	CIS 4,CANADA S A	CIS 4	CANADA S A	29	1	1		33
CSIS	CIS 4,JERRY G S	CIS 4	JERRY G S	16	3	1		29
CSIS	CIS 4,JERRY G S	CIS 4	JERRY G S	9	4	2		25
CSIS	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	22	1	2		31
CSIS	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	15	5	1		24
CSIS	CIS 4,ROTHAUPT B L	CIS 4	ROTHAUPT B L	14	4			23
CSIS	CIS 4,GROSS D M	CIS 4	GROSS D M	6	7	3		21
CSIS	CIS 4,GROSS D M	CIS 4	GROSS D M	14	2	1		21
CSIS	CIS 4,GROSS D M	CIS 4	GROSS D M	9	3	1		19
CSIS	CIS 4,CANADA S A	CIS 4	CANADA S A	15	3	1		24
CSIS	CIS 4,CANADA S A	CIS 4	CANADA S A	30	1	1		35
CSIS	CIS 4,SIMMONDS A R	CIS 4	SIMMONDS A R	21	5	2		36
CSIS	CIS 9A,KURTZ K A	CIS 9A	KURTZ K A	5		1		8
CSIS	CIS 9B,DARWICHE J	CIS 9B	DARWICHE J	3	1			7
CSIS	CIS 27,COPLEN J S	CIS 27	COPLEN J S	6	4	2		17
CSIS	CIS 30,BOLANDHEMAT F	CIS 30	BOLANDHEMAT F	20	8	3		40
CSIS	CIS 32,ROTHAUPT B L	CIS 32	ROTHAUPT B L	13	3	1		21
CSIS	CIS 34,BOLANDHEMAT F	CIS 34	BOLANDHEMAT F	10	2	2		22
CSIS	CIS 35,VALDIVIA O	CIS 35	VALDIVIA O	1		1	1	3
CSIS	CIS 35,ZIMMERMAN W L 	CIS 35	ZIMMERMAN W L 	3		1	2	6
CSIS	CIS 35,ZIMMERMAN W L 	CIS 35	ZIMMERMAN W L 	4	1		2	7
CSIS	CIS 36P,VALDIVIA O	CIS 36P	VALDIVIA O	12	2	1		27
CSIS	CIS 37A,GROSS D M	CIS 37A	GROSS D M	15	3	1	2	27
CSIS	CIS 37B,GROSS D M	CIS 37B	GROSS D M	13	5	1	1	24
CSIS	CIS 50,CLARK G B	CIS 50	CLARK G B	8	2	2		17
CSIS	CIS 50,BOLANDHEMAT F	CIS 50	BOLANDHEMAT F	7	4	3	1	25
CSIS	CIS 50,BOLANDHEMAT F	CIS 50	BOLANDHEMAT F	9	1	4	1	28
CSIS	CIS 51,CLARK G B	CIS 51	CLARK G B	10	2	1	1	25
CSIS	CIS 51,DARWICHE J	CIS 51	DARWICHE J	5	4	1		16
CSIS	CIS 54,CHABAN M	CIS 54	CHABAN M	16	5	2		31
CSIS	CIS 57,CHABAN M	CIS 57	CHABAN M	13	4			20
CSIS	CIS 59A,CLARK G B	CIS 59A	CLARK G B	10	3	2	1	25
CSIS	CIS 59A,JERRY G S	CIS 59A	JERRY G S	14	2	2		21
CSIS	CIS 60A,VALDIVIA O	CIS 60A	VALDIVIA O	7	5	1		23
CSIS	CIS 60A,MICHELSON G S	CIS 60A	MICHELSON G S	13	2	1		26
CSIS	CIS 60A,ST AMANT K	CIS 60A	ST AMANT K	5	3	5		22
CSIS	CIS 60B,VALDIVIA O	CIS 60B	VALDIVIA O	7	4	1	1	18
CSIS	CIS 70,ST AMANT K	CIS 70	ST AMANT K	9	3	1	1	24
CSIS	CIS 88A,BOLANDHEMAT F	CIS 88A	BOLANDHEMAT F	1				1
CSIS	CS 3,MARCHAND K A	CS 3	MARCHAND K A	4	4	16		38
CSIS	CS 3,ROGLER H L	CS 3	ROGLER H L	2	9	8		33
