Santa Monica College - Grade Distribution Spring 2013,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,AHIS,AHIS,1,1049,SEMERE M G,25,42,53,7,,,,1,16,144,
,,,,1050,TRIANDOS T I,8,16,3,1,,,,,13,41,
,,,,1051,MEYER W J,36,8,2,6,,,,,3,55,
,,,,1052,MEYER W J,38,9,,2,2,,,1,5,57,
,,,,4007,LEAPER L E,8,7,5,4,9,,,,11,44,
,,AHIS,2,1054,LEAPER L E,5,14,2,7,,,,,12,40,
,,,,1055,ROWE S H,15,11,6,3,8,,,1,10,54,
,,,,1056,MING L Y,10,9,4,3,4,,,,6,36,
,,,,1057,MEYER W J,46,4,1,1,5,,,,5,62,
,,,,1058,MEYER W J,56,4,1,3,,,,,1,65,
,,AHIS,3,1059,MEYER W J,53,20,7,8,15,2,1,2,25,133,
,,,,1060,MING L Y,9,4,9,4,4,,,,11,41,
,,,,3066,MEYER W J,31,5,3,2,,1,,,9,51,
,,AHIS,11,1061,JAMES N M,9,9,14,2,8,,,,24,66,
,,,,1062,WOOD E,23,24,21,4,3,,,1,5,81,
,,,,1063,THAYER J,9,9,4,1,,1,,,9,33,
,,AHIS,17,1064,O'LEARY T F,8,11,5,2,4,,,,9,39,
,,AHIS,18,1065,BROWN WE,4,7,7,3,7,,,,8,36,
,,,,1066,BROWN WE,7,14,7,4,3,,,,6,41,
,,AHIS,72,1069,STUART C A,8,12,3,4,2,,,1,11,41,
,,,,1070,SCHAPA E J,67,33,10,9,12,,,1,1,133,
,,,,1071,MIHAYLOVICH K W,23,13,,2,2,,,,5,45,
,,,,1072,MIHAYLOVICH K W,20,8,6,1,3,,,,9,47,
,,,,3128,MIHAYLOVICH K W,7,10,6,7,,,,,9,39,
,,,,4008,FOLLAND T F,8,8,2,6,,,1,1,13,39,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 1 of 95,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,Grand Total
Art,AHIS,AHIS,72,4009,DASTIN E R,16,8,4,1,4,,,,3,36,
,ART,ART,10A,1112,BURCHMAN J H,11,7,4,,,,,,1,23,
,,,,1113,ARUTIAN C L,7,12,1,3,3,,,,4,30,
,,,,1114,MIYANO E,8,9,4,4,,,,,4,29,
,,,,1115,MITCHELL R,19,6,1,,1,1,,,2,30,
,,,,1116,KIYOSE Y,10,2,2,1,5,,,,6,26,
,,,,1117,KARLSEN A M,14,3,5,,,,,,6,28,
,,,,1118,BURCHMAN J H,15,6,2,,2,,,,6,31,
,,,,1119,MAMMARELLA C J,5,3,3,4,2,,,,10,27,
,,,,1120,VICICH G M,14,12,,,3,,1,,3,33,
,,,,1121,KARLSEN A M,10,,2,,4,2,,,5,23,
,,,,3089,MOSS AV,3,1,1,,,,,,15,20,
,,,,3103,SYNICKY C M,6,5,2,2,6,,,,4,25,
,,,,4018,SHIBATA J M,16,1,1,,6,,,,1,25,
,,,,4019,MITCHELL R,22,2,3,,1,,,,1,29,
,,ART,10B,1122,WINSRYG M W,12,8,,,,,,,3,23,
,,,,1123,DAVIS R L,19,14,,,1,,,,1,35,
,,,,4020,MIYANO E,6,4,3,,1,,,,6,20,
,,ART,10C,1124,LUNDQUIST T,8,13,2,1,2,,,,1,27,
,,,,1125,OBIAMIWE O D,13,3,2,2,1,,,,1,22,
,,,,1126,OBIAMIWE O D,9,9,,1,1,,,,2,22,
,,ART,13,1127,HARTMAN D G,21,4,,,,,,,1,26,
,,,,1128,HARTMAN D G,26,2,,,,,,,,28,
,,,,4021,BROMBERG T L,12,3,1,,2,,,,2,20,
,,,,4022,SILVER E M,22,1,1,,1,,,,1,26,
,,ART,17A,1129,RIGGS T M,5,10,2,,,,,,5,22,
,,ART,20A,1130,HATTON C,15,3,6,1,3,,,,2,30,
"Friday, August 16, 2013",,,,,,,,,,,,,,,Page 2 of 95,
