Santa Monica College - Grade Distribution Fall 2012,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,AHIS,AHIS,1,1052,SEMERE M G,9,47,42,5,16,,,2,,16,137,
,,,,1053,MEYER W J,29,12,1,1,2,,,,,5,50,
,,,,1054,MEYER W J,37,6,2,1,2,,,,,1,49,
,,,,4010,BROWN WE,11,14,5,6,10,,,1,,3,50,
,,AHIS,2,1055,ROWE S H,10,11,9,2,2,,,,,13,47,
,,,,1056,MEYER W J,45,4,1,,4,,,,,1,55,
,,,,1057,MEYER W J,36,5,,,8,,,,,7,56,
,,,,4011,MING L Y,8,8,2,1,6,,,,,11,36,
,,AHIS,3,1058,MEYER W J,52,24,4,7,12,,1,1,,20,121,
,,,,1059,MEYER W J,15,7,1,1,7,,1,,,12,44,
,,AHIS,11,1060,JAMES N M,11,10,4,3,4,,,,,2,34,
,,,,1061,JAMES N M,8,3,5,1,9,,2,,,10,38,
,,,,1062,WOOD E,22,16,5,1,2,,,,,5,51,
,,,,4012,WOOD E,10,11,13,,,,,,,8,42,
,,AHIS,17,1063,O'LEARY T F,5,8,7,3,12,,1,,1,10,47,
,,,,1064,O'LEARY T F,6,7,5,2,5,,,,,8,33,
,,AHIS,18,1065,BROWN WE,9,15,8,1,8,,,1,,5,47,
,,AHIS,72,1068,ROWE S H,6,5,3,3,9,,,,,17,43,
,,,,1069,ROWE S H,15,9,7,4,7,,,,1,8,51,
,,,,1070,BROWN WE,13,13,9,4,3,,,,,2,44,
,,,,1071,MIHAYLOVICH K W,19,12,5,2,,,,,,4,42,
,,,,1072,MIHAYLOVICH K W,19,11,1,,2,,,,,6,39,
,,,,1073,FOLLAND T F,6,11,4,,1,,,,1,7,30,
,,,,1074,FOLLAND T F,9,6,11,1,4,,,,,3,34,
,,,,3269,SCHAPA E J,67,22,11,4,6,,,,,10,120,
,ART,ART,10A,1114,BURCHMAN J H,15,8,,1,,,,,,5,29,
,,,,1115,ARUTIAN C L,9,1,4,2,2,,,,,9,27,
,,,,1116,MIYANO E,12,7,4,,,,,,,5,28,
,,,,1117,MITCHELL R,21,4,,,1,,,,,3,29,
,,,,1118,ARUTIAN C L,8,3,6,2,2,,,,,6,27,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 1 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,10A,1119,KIYOSE Y,6,6,2,3,6,,,,,6,29,
,,,,1120,KARLSEN A M,9,4,9,6,5,,,,,1,34,
,,,,1121,BURCHMAN J H,20,6,1,1,,,,,,1,29,
,,,,1122,SYNICKY C M,7,5,2,2,6,,,,,4,26,
,,,,1123,VICICH G M,21,10,3,,,,,,,,34,
,,,,1124,KARLSEN A M,6,6,5,3,5,,,,,3,28,
,,,,1125,MOSS AV,12,7,3,2,5,,,,,3,32,
,,,,1126,SILVER E M,16,7,1,,1,,,,,1,26,
,,,,4021,SHIBATA J M,13,5,,,3,,,,,1,22,
,,,,4022,MITCHELL R,22,3,,,,,,,,3,28,
,,,,4023,MOSS AV,5,5,,4,,,,,,12,26,
,,ART,10B,1127,MAMMARELLA C J,10,7,1,1,,,,,,4,23,
,,,,1128,DAVIS R L,19,10,1,,1,,,,,2,33,
,,,,4024,MIYANO E,17,3,,1,1,,,,,4,26,
,,ART,10C,1129,LUNDQUIST T,10,6,2,1,,,,,,2,21,
,,,,1130,OBIAMIWE O D,14,3,,,2,,,,,1,20,
,,,,1131,OBIAMIWE O D,20,5,,,1,,,,,,26,
,,ART,13,1132,HARTMAN D G,17,10,,,,,,,,2,29,
,,,,1133,HARTMAN D G,23,2,,,,,,,,,25,
,,,,4025,SILVER E M,11,5,,,3,,,,,2,21,
,,ART,17A,1134,RIGGS T M,3,7,3,3,1,,,,,3,20,
,,ART,20A,1135,KOMPANEYETS M,3,14,8,,5,,,,,5,35,
,,,,1136,VICICH G M,13,9,1,,2,,,,,5,30,
,,,,1137,HATTON C,9,6,6,1,6,,,,,4,32,
,,,,1138,RIGGS T M,6,4,3,2,1,,,,,16,32,
,,,,1139,HATTON C,12,7,5,1,3,,,,,2,30,
,,,,1140,MAMMARELLA C J,8,8,2,2,1,,,,,11,32,
,,,,1141,ZARCONE J,8,5,3,4,1,,,,,9,30,
,,,,1142,RICHARDSON DOOL L J,5,7,,2,2,,,1,,9,26,
,,,,1143,KAGAN SHARON,7,6,7,,5,,,,,6,31,
,,,,1144,GRECO J,10,6,5,,1,,,,,9,31,
,,,,1145,HATTON C,17,3,4,1,5,,,,,1,31,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 2 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,20A,4026,GRECO J,10,6,5,,,,,,,7,28,
,,,,4027,OCONNELL J L,7,5,5,,1,,,,,7,25,
,,,,4028,THOMASON M M,6,8,4,2,,,,,,5,25,
,,ART,20B,1146,RICHARDSON DOOL L J,6,10,2,1,2,,,,,7,28,
,,,,1147,KARLSEN A M,13,3,4,2,5,,,,,1,28,
,,,,1148,HATTON C,9,4,4,,1,,,,,7,25,
,,,,1149,KARLSEN A M,15,3,,,2,,,,,7,27,
,,,,4029,KOMPANEYETS M,6,7,3,2,3,,,,,2,23,
,,ART,20C,1150,LUNDQUIST T,11,7,1,,,,,,,1,20,
,,ART,21A,1151,TRUJILLO M E,21,8,1,,,,,,,3,33,
,,,,4030,OCONNELL J L,5,10,3,,2,,,,,6,26,
,,ART,21B,1152,TRUJILLO M E,15,5,3,1,,,,,,2,26,
,,ART,30A,1153,SHIBATA J M,16,4,2,,3,,,,1,6,32,
,,ART,30C,1154,OTA N T,9,5,,,3,,,,,9,26,
,,,,4031,OTA N T,8,5,2,1,1,,,,,10,27,
,,ART,31,1155,LOPEZ L G,6,2,2,2,5,,,,,6,23,
,,,,1156,TRUJILLO M E,12,6,2,2,,,,,,2,24,
,,,,1157,DAVIS R L,13,6,,,1,,,,,2,22,
,,,,4032,ZARCONE J,3,1,1,,3,,,,,2,10,
,,ART,32,1158,DAVIS R L,9,1,,,,,,,,,10,
,,,,4033,LOPEZ L G,9,2,2,,2,,,1,1,6,23,
,,,,4034,ZARCONE J,2,1,2,,2,,,,,4,11,
,,ART,33,1159,TRUJILLO M E,8,3,3,3,,,,,,4,21,
,,ART,34A,1160,LOPEZ L G,13,4,5,3,5,,1,,,6,37,
,,,,4035,KAGAN SHARON,8,5,1,1,6,,,,,5,26,
,,ART,34B,4036,LOPEZ L G,3,2,3,1,2,,,1,,9,21,
,,ART,40A,1161,HARTMAN D G,21,4,1,,,,,,,2,28,
,,,,1162,HARTMAN D G,14,4,,,,,,,,3,21,
,,,,4037,BROMBERG T L,7,3,2,1,,,,,1,4,18,
,,ART,40B,1163,HARTMAN D G,11,5,,,,,,,,3,19,
,,,,4038,BROMBERG T L,5,4,1,,,,,,,2,12,
,,ART,40C,1164,HARTMAN D G,5,1,,,1,,,,,3,10,
"Monday, March 04, 2013",,,,,,,,,,,,,,,,Page 3 of 86,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
Art,ART,ART,41A,1165,SIMON D L,5,8,1,,1,,1,,1,3,20,
,,ART,43A,1166,BROMBERG T L,9,5,1,,2,,,,,,17,
,,ART,43B,1167,BROMBERG T L,7,2,,,1,,,,,,10,
,,ART,52A,1168,PHILLIPS F,12,4,2,,,,,,,2,20,
,,,,1169,TOMKINSON B D,8,10,,,,,,,2,6,26,
,,,,1170,PHILLIPS F,12,9,1,,,,,,,2,24,
,,,,1171,PHILLIPS F,17,6,,,,,,,,1,24,
